latent,inverse_logit,piel_printed_2013,uniform_binomial_conjugate,stukel_piel_printed_2013,stukel_uniform_binomial_conjugate
-5.27811334825389,0.0050761487529074611,0.0054853134846071013,0.0054337250062851446,0.0055538046497451213,0.0054952322128718391
-5.2501369303324301,0.0052194146794965878,0.0056791779641130278,0.0056231190548585788,0.0057453584300113901,0.0056827594026250972
-5.2221605124109702,0.0053667022399020228,0.0058788455962488747,0.005818191630863348,0.0059424601327535556,0.0058757537183819208
-5.1941840944895095,0.0055181230778098755,0.0060844497059398782,0.0060190779886786505,0.0061452332335964338,0.0060743419814424954
-5.1662076765680496,0.0056737918648265802,0.0062961252344156324,0.0062259153608537066,0.0063538027782164977,0.0062786529158133948
-5.1382312586465897,0.0058338263785055961,0.0065140087071798363,0.0064388429433661154,0.0065682953668013359,0.0064888171449810446
-5.1102548407251289,0.0059983475821474667,0.0067382381997495872,0.0066580018789516816,0.0067888391371984805,0.0067049671874955148
-5.082278422803669,0.0061674797063993973,0.0069689533011305918,0.0068835352384580238,0.0070155637467324882,0.0069272374513333511
-5.0543020048822092,0.0063413503326799469,0.0072062950749963387,0.0071155880001747057,0.0072486003526700546,0.0071557642270075345
-5.0263255869607484,0.0065200904784536388,0.0074504060185413218,0.0073543070270937171,0.0074880815913132637,0.0073906856793929171
-4.9983491690392885,0.0067038346843797348,0.007701430018980094,0.0075998410420546137,0.0077341415557021873,0.0076321418382356166
-4.9703727511178286,0.006892721103358577,0.007959512307666736,0.0078523406007299599,0.0079869157719084476,0.0078802745873150989
-4.9423963331963678,0.0070868915914978504,0.0082247994118108143,0.0081119580624074775,0.0082465411739023383,0.008135227652227817
-4.914419915274908,0.0072864918010202258,0.0084974391037687218,0.0083788475585264942,0.0085131560769767488,0.00839714658676146
-4.8864434973534481,0.0074916712751327327,0.0087775803478919029,0.0086531649589278812,0.0087869001497124944,0.0086661787578294052
-4.8584670794319873,0.0077025835448767616,0.0090653732449156952,0.0089350678357775527,0.0090679143844697978,0.0089424733289349533
-4.8304906615105274,0.0079193862279764108,0.0093609689738753752,0.0092247154251253287,0.0093563410663921823,0.0092261812421357559
-4.8025142435890675,0.0081422411297013397,0.0096645197315391798,0.0095222685860628809,0.0096523237409102142,0.0095174551984788421
-4.7745378256676068,0.0083713143457584873,0.0099761786693505338,0.0098278897574455154,0.0099560071797329189,0.0098164496368775087
-4.7465614077461469,0.008606776367225356,0.01029609982787495,0.010141742912144938,0.010267537345316186,0.010123320711401471
-4.718584989824687,0.0088488021875355975,0.010624438068750743,0.010463993508802116,0.01058706135379895,0.010438226266952818
-4.6906085719032262,0.0090975714115253212,0.010961349004144938,0.010794808441050876,0.010914727436398448,0.010761325813300434
-4.6626321539817663,0.0093532683665463901,0.011306988923720295,0.011134355984185674,0.011250684899257315,0.011092780497446433
-4.6346557360603065,0.0096160822156505024,0.011661514719122194,0.011482805739249327,0.011595084081737183,0.011432753074298901
-4.6066793181388466,0.0098862070728448891,0.012025083805997854,0.011840328574518201,0.011948076313153689,0.011781407875626366
-4.5787029002173858,0.010163842120417863,0.01239785404356419,0.012207096564365789,0.012309813867949916,0.012138910777269524
-4.5507264822959259,0.010449191728329055,0.012779983651744254,0.01258328292548796,0.012680449919306466,0.01250542916458741
-4.522750064374466,0.010742465575656057,0.013171631125896456,0.012969061950475822,0.013060138491188176,0.012881131896115849
-4.4947736464530053,0.011043878774085275,0.013572955149164078,0.013364608938725514,0.013449034408828036,0.013266189265417212
-4.4667972285315454,0.011353651993431149,0.013984114502477211,0.013770100124676634,0.013847293247651488,0.013660772961101198
-4.4388208106100855,0.011672011589163795,0.014405267972243519,0.014185712603375363,0.014255071280645402,0.014065056024998386
-4.4108443926886247,0.011999189731920417,0.01483657425576743,0.014611624253360175,0.014672525424177359,0.014479212808468414
-4.3828679747671648,0.012335424538971336,0.015278191864442988,0.015048013656872691,0.015099813182272988,0.014903418926826966
-4.3548915568457049,0.012680960207606588,0.015730279024768829,0.01549506001739949,0.015537092589360786,0.015337851211876663
-4.3269151389242442,0.01303604715040319,0.016192993577238718,0.01595294307455369,0.015984522151495185,0.015782687662527887
-4.2989387210027843,0.013400942132327943,0.016666492873165122,0.016421843016309869,0.016442260786070605,0.016238107393498302
-4.2709623030813244,0.013775908409624485,0.017150933669498086,0.016901940388609388,0.0169104677600414,0.016704290582080152
-4.2429858851598636,0.014161215870426578,0.017646472021705925,0.017393416002356842,0.017389302626663654,0.017181418412966717
-4.2150094672384038,0.014557141177033099,0.018153263174788582,0.017896450837833009,0.017878925160777624,0.017669673021130719
-4.1870330493169439,0.014963967909772996,0.018671461452499542,0.018411225946553738,0.018379495292650542,0.018169237432749636
-4.1590566313954831,0.015381986712380427,0.019201220144856056,0.018937922350608233,0.018891173040402234,0.01868029550417415
-4.1310802134740232,0.015811495438792587,0.019742691394022165,0.019476720939514934,0.019414118441037301,0.019203031858938065
-4.1031037955525633,0.016252799301274129,0.020296026078653794,0.020027802364637453,0.019948491480109982,0.019737631822810499
-4.0751273776311026,0.016706211019762718,0.020861373696798972,0.020591346931207656,0.020494452020050093,0.020284281356891969
-4.0471509597096427,0.017172050972321041,0.021438882247451035,0.021167534488007508,0.021052159727179266,0.020843166988759539
-4.0191745417881828,0.017650647346570569,0.022028698110857104,0.02175654431476623,0.021621773997450421,0.02141447574166732
-3.991198123866722,0.018142336291971432,0.022630965927688138,0.02235855500733366,0.022203453880943795,0.021998395061811046
-3.9632217059452621,0.018647462072801893,0.023245828477180753,0.022973744360695651,0.022797358005156202,0.022595112743667711
-3.9352452880238022,0.019166377221679357,0.023873426554366316,0.023602289249902545,0.023403644497121491,0.023204816853424508
-3.9072688701023424,0.019699442693451998,0.024513898846505115,0.024244365508985802,0.024022470904402411,0.023827695650511634
-3.8792924521808816,0.020247028019277753,0.025167381808848702,0.024900147807943543,0.024653994114996212,0.024463937507258064
-3.8513160342594217,0.020809511460693472,0.025834009539856696,0.025569809527879971,0.025298370276198592,0.025113730826690852
-3.8233396163379618,0.021387280163463279,0.026513913655998013,0.026253522634389272,0.025955754712471923,0.025777263958501197
-3.795363198416501,0.021980730310979666,0.027207223166269969,0.026951457549278579,0.026626301842366848,0.026454725113203254
-3.7673867804950412,0.022590267276976005,0.02791406434657202,0.027663783020729846,0.027310165094547059,0.027146302274513947
-3.7394103625735813,0.023216305777292709,0.028634560614074638,0.028390665992006011,0.028007496822970372,0.027852183109985586
-3.7114339446521205,0.023859270020422034,0.029368832401725553,0.029132271468809957,0.02871844822128037,0.028572554879924862
-3.6834575267306606,0.024519593856539238,0.030116997033039723,0.02988876238541097,0.02944316923646462,0.029307604344634756
-3.6554811088092007,0.025197720924709475,0.030879168597321382,0.030660299469657603,0.030181808481839122,0.030057517670019726
-3.62750469088774,0.025894104797940225,0.031655457825468664,0.03144704110699998,0.030934513149417912,0.030822480331595421
-3.5995282729662801,0.026609209125729474,0.032445971966513755,0.032249143203649563,0.031701428921730772,0.03160267701694925
-3.5715518550448202,0.027343507773739457,0.033250814665053856,0.033066759049008743,0.032482699883153152,0.032398291526699402
-3.5435754371233594,0.028097484960203627,0.034070085839728745,0.033900039177506426,0.033278468430813973,0.033209506674002978
-3.5155990192018995,0.02887163538865295,0.034903881562903472,0.034749131229980385,0.03408887518514863,0.034036504182668105
-3.4876226012804397,0.029666464376524627,0.035752293941714884,0.035614179814751158,0.034914058900167098,0.034879464583926309
-3.4596461833589789,0.030482487979192063,0.036615411000642084,0.036495326368535259,0.035754156373507311,0.035738567111924927
-3.431669765437519,0.031320233108930902,0.03749331656576111,0.037392709017350451,0.036609302356346997,0.03661398959800239
-3.4036933475160591,0.032180237648310822,0.038386090150845098,0.038306462437568002,0.037479629463247663,0.037505908363812353
-3.3757169295945983,0.033063050557476083,0.03929380684547041,0.039236717717270976,0.038365268082005875,0.038414498113364913
-3.3477405116731385,0.033969231974751699,0.040216537205288935,0.040183602218080205,0.039266346283589083,0.039339931824056165
-3.3197640937516786,0.034899353309984893,0.041154347144627457,0.04114723943761274,0.040182989732234352,0.040282380636761414
-3.2917876758302178,0.035853997330002454,0.042107297831572126,0.042127748872739727,0.041115321595788214,0.041242013745067849
-3.2638112579087579,0.036833758235536883,0.043075445585695947,0.043125245883813348,0.042063462456369341,0.042218998283728139
-3.235834839987298,0.037839241728944671,0.044058841778585968,0.044139841560034893,0.043027530221434858,0.043213499216416602
-3.2078584220658382,0.038871065072009617,0.045057532737324039,0.04517164258613672,0.044007640035332578,0.044225679222874154
-3.1798820041443774,0.03992985713309468,0.046071559651072916,0.046220751110553356,0.045003904191423236,0.045255698585530121
-3.1519055862229175,0.041016258422874111,0.047100958480918068,0.047287264615258347,0.046016432044855726,0.046303715075691199
-3.1239291683014576,0.042130921117847706,0.048145759873110976,0.048371275787443505,0.047045329926080702,0.047369883839391953
-3.0959527503799968,0.043274509070806079,0.049205989075858179,0.049472872393218285,0.048090701055187604,0.048454357283001882
-3.067976332458537,0.044447697807385535,0.050281665859794988,0.050592137153507979,0.049152645457150569,0.04955728495868704
-3.0399999145370771,0.045651174507819116,0.051372804442281393,0.051729147622327991,0.050231259878069513,0.050678813449828261
